"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type","is.lhn","layer","ct.layer","classic.transmitter","other.transmitter"
5813095395,"SLP075a","ADL15","ADL15g","ADL15g_a_pct","FALSE","LHON","LHAD1b1","LHl2_medial","DPLal2_medial","none","none","none","none",TRUE,FALSE,"LHAD1","LHAD1b1b",NA,4.80268595041322,5,"acetylcholine","acetylcoline"
543412198,"SLP075b","ADL15","ADL15g","ADL15g_b_pct","FALSE","LHN","LHAD1b1","LHl2_medial","DPLal2_medial","none","none","none","none",TRUE,FALSE,"LHAD1","LHAD1b1a",NA,4.92584963954686,5,"acetylcholine","acetylcoline"
451382570,"SLP075e","ADL15","ADL15g","ADL15j_pct","FALSE","LHON","LHAD1b3","LHl2_medial","DPLal2_medial","5030649","poor","none","none",FALSE,FALSE,"LHAD1","LHAD1b3",TRUE,3.75670103092784,4,"acetylcholine","acetylcoline"
455828904,"SLP075e","ADL15","ADL15g","ADL15j_pct","FALSE","LHON","LHAD1b3","LHl2_medial","DPLal2_medial","2842610","poor","none","none",FALSE,FALSE,"LHAD1","LHAD1b3",TRUE,4.0741127348643,4,"acetylcholine","acetylcoline"
5813047019,"SLP075e","ADL15","ADL15g","ADL15j_pct","FALSE","LHON","LHAD1b3","LHl2_medial","DPLal2_medial","1811499","medium","L1539#4","good",FALSE,FALSE,"LHAD1","LHAD1b3",TRUE,3.79260780287474,4,"acetylcholine","acetylcoline"
421957539,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHON","LHAD1b5","LHl2_medial","DPLal2_medial","6852364","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1b5",FALSE,4.29222797927461,4,"acetylcholine","acetylcoline"
513404289,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHON","LHAD1b5","LHl2_medial","DPLal2_medial","11480149","poor","none","none",FALSE,FALSE,"LHAD1","LHAD1b5",FALSE,4.81639004149378,4,"acetylcholine","acetylcoline"
517842578,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHON","LHAD1b5","LHl2_medial","DPLal2_medial","6901685","poor","none","none",FALSE,FALSE,"LHAD1","LHAD1b5",FALSE,4.65388601036269,4,"acetylcholine","acetylcoline"
5813067728,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHON","LHAD1b5","LHl2_medial","DPLal2_medial","6852364","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1b5",FALSE,4.5051867219917,4,"acetylcholine","acetylcoline"
5901195496,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHON","LHAD1b5","LHl2_medial","DPLal2_medial","6852364","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1b5",FALSE,4.22129436325678,4,"acetylcholine","acetylcoline"
574027813,"CL012a","ADL12","ADL12b","ADL12b_pct","FALSE","LHON","LHAD2c3","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2","LHAD2c3",TRUE,4.134994807892,4,"unknown","unknown"
760272462,"CL012a","ADL12","ADL12b","ADL12b_pct","FALSE","LHON","LHAD2c3","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2","LHAD2c3",TRUE,4.47979274611399,4,"unknown","unknown"
788519447,"CL012a","ADL12","ADL12b","ADL12b_pct","FALSE","LHON","LHAD2c3","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2","LHAD2c3",TRUE,3.91796469366563,4,"unknown","unknown"
573713481,"CL012b","ADL12","ADL12b","ADL12ob_pct","FALSE","LHON","LHAD2c1","VLPd1","DPLam","none","none","none","none",TRUE,FALSE,"LHAD2","LHAD2c1",TRUE,4.49222797927461,5,"unknown","unknown"
576843029,"CL012b","ADL12","ADL12b","ADL12ob_pct","FALSE","LHON","LHAD2c1","VLPd1","DPLam","none","none","none","none",TRUE,FALSE,"LHAD2","LHAD2c1",TRUE,4.84932920536636,5,"unknown","unknown"
666136034,"CL012c","ADL12","ADL12b","ADL12oe_pct","FALSE","LHON","LHAD2c2","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2","LHAD2c2",TRUE,4.19354838709677,4,"unknown","unknown"
917497441,"CL012c","ADL12","ADL12b","ADL12oe_pct","FALSE","LHON","LHAD2c2","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2","LHAD2c2",TRUE,4.29042224510814,4,"unknown","unknown"
