"L963","JRC_IS22797-20151106_51_E2","83A11","34G01","24","1","Yes","","Yes_TI-wk19","Yes_TI_wk29","Yes","Medium","SplitGAL4annotate/Image/Untitled_572.jpg"
"L2260","JRC_IS24693-20151211_52_E4","92D09","VT019067","153","1","Yes","","Yes_TI-wk21","Yes_TI_wk23","Yes","Medium","SplitGAL4annotate/Image/Untitled_573.jpg"
"L2314","JRC_IS24835-20151218_52_E4","58F03","34E09","NotLH","1","Yes","","Yes_TI-wk21","Case4_Wk6","Yes","Medium","SplitGAL4annotate/Image/Untitled_574.jpg"
"L2045","JRC_IS25420-20160121_52_D6","VT006202","VT017375","54C","1","Yes","","Yes_TI-wk20","Yes_TI_wk22","Yes","None","SplitGAL4annotate/Image/Untitled_550.jpg"
"","","","","54A","","","","","","","",""
"L856","JRC_IS22392-20160129_52_D2","20A03","29E11","NotPaper","1","Yes","","Yes_TI-wk19","Yes-TI_wk18","Yes","Medium","SplitGAL4annotate/Image/Untitled_577.jpg"
"L879","JRC_IS22395-20160129_52_A4","13C04","29E11","NotPaper","2","No","","Yes_TI-wk20","Yes_TI_wk29","Yes","Weak","SplitGAL4annotate/Image/Untitled_578.jpg"
"","","","","","","","","","","","",""
"L1981","JRC_IS25419-20160121_52_D4","VT017242","VT008183","123","1","No","","","","No","Strong","SplitGAL4annotate/Image/Untitled_579.jpg"
"L880","JRC_IS25820-20160129_52_A2","30A10","29E11","NotPaper","3","Yes","","","","No","None","SplitGAL4annotate/Image/Untitled_580.jpg"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"L876","JRC_IS25832-20160129_52_E2","79C09","29E11","27A","2","Yes","","Yes_TI-wk22","Yes_TI_wk29","Yes","Weak","SplitGAL4annotate/Image/Untitled_581.jpg"
"","","","","116A","","","","","","","",""
"L1985","JRC_IS23392-20160121_52_A3","VT006202","VT007394","54C","1","Yes","","","","No","None","SplitGAL4annotate/Image/Untitled_582.jpg"
"","","","","54A","","","","","","","",""
"L271","JRC_IS21811-20160212_52_A6","14B11","41H09","NotPaper","2","Yes","","Yes_TI-wk19","Yes-TI_wk18","Yes","None","SplitGAL4annotate/Image/Untitled_584.jpg"
"L867","JRC_IS25833-20160129_52_E3","82F03","29E11","27A","1","Yes","","","","No","Strong","SplitGAL4annotate/Image/Untitled_585.jpg"
"L860","JRC_IS25822-20160129_52_D3","33E02","29E11","27A","1","No","","Yes_TI-wk21","Yes_TI_wk29","Yes","Weak","SplitGAL4annotate/Image/Untitled_576.jpg"
"L760","JRC_IS22760-20160129_52_E4","25G10","20A03","8C","1","Yes","","Yes_TI-wk24","Yes_TI_wk25","Yes","Medium","SplitGAL4annotate/Image/Untitled_583.jpg"
"L2316","JRC_SS25950-20160212_52_G1","VT023823","34E09","76B","2","No","","Yes_TI-wk20","Yes_TI_wk25","Yes","Strong","SplitGAL4annotate/Image/Untitled_588.jpg"
"","","","","","","","","","","","",""
"L2111","JRC_IS23139-20160212_52_A3","24C08","53C02","138","1","Yes","","Yes_TI-wk20","Yes_TI_wk25","Yes","None","SplitGAL4annotate/Image/Untitled_589.jpg"
"L883","JRC_IS25835-20160129_52_F4","84F07","29E11","29D","1","Yes","","Yes_TI-wk27","Yes-TI_wk18","Yes","None","SplitGAL4annotate/Image/Untitled_590.jpg"
"L2317","JRC_SS25954-20160212_52_B1","15F02","41H09","PN","0","Yes","","","Yes_TI_wk20","Yes","None","SplitGAL4annotate/Image/Untitled_586.jpg"
"L1226","JRC_IS22342-20160212_52_E1","25B07","48E02","12A","1","Yes","","","","No","None","SplitGAL4annotate/Image/Untitled_587.jpg"
"L1649","JRC_IS22681-20160219_51_A1","38D01","83A11","138","1","No","","","","No","None","SplitGAL4annotate/Image/Untitled_591.jpg"
"L482","JRC_IS26634-20160226_53_C6","31D07","65H10","8B","1","Yes","","Yes_TI-wk26","Case4_Wk6","Yes","Weak","SplitGAL4annotate/Image/Untitled_595.jpg"
"","","","","8A","","","","","","","",""
"L2278","JRC_IS24645-20160226_53_A3","VT050226","VT026001","16B","1","Yes","","Yes_TI-wk19","Yes_TI_wk22","Yes","None","SplitGAL4annotate/Image/Untitled_596.jpg"
"L1299","JRC_IS22586-20160226_53_A5","51H04","52H12","12A","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_486.jpg"
"L1140","JRC_IS22550-20160226_53_C2","94B04","44G08","NotPaper","1","Yes","","Yes_TI-wk22","Yes_TI_wk21","Yes","None","SplitGAL4annotate/Image/Untitled_592.jpg"
"","","","","","","","","","","","",""
"L1524","JRC_IS22640-20160226_53_I1","41H07","66A08","70D","2","Yes","","Yes_TI-wk19","Yes_TI_wk20","Yes","Strong","SplitGAL4annotate/Image/Untitled_594.jpg"
"","","","","(8A)","","","","","","","",""
"L1425","JRC_IS26628-20160226_53_C3","41H07","59F02","8A","2","Yes","","","","No","None","SplitGAL4annotate/Image/Untitled_597.jpg"
"","","","","113","","","","","","","",""
"L1431","JRC_IS22617-20160226_53_D1","94B04","59F02","125","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_599.jpg"
"L1550","JRC_IS26646-20160226_53_E1","64G04","69H02","29B","1","Yes","","","","No","Strong","SplitGAL4annotate/Image/Untitled_601.jpg"
"L1569","JRC_IS22658-20160226_53_E2","25G10","76E07","17C","1","Yes","","Yes_TI-wk19","Yes_TI_wk30","Yes","Weak","SplitGAL4annotate/Image/Untitled_602.jpg"
"L1539","JRC_IS22647-20160226_53_G4","94B04","66B12","16B","1","Yes","","Yes_TI-wk25","Yes_TI_wk20","Yes","None","SplitGAL4annotate/Image/Untitled_603.jpg"
"L2109","JRC_IS23137-20160226_53_H4","54G12","48E02","138","1","Yes","","Yes_TI-wk21","Yes_TI_wk20","Yes","Medium","SplitGAL4annotate/Image/Untitled_604.jpg"
"L1183","JRC_IS26639-20160226_54_A2","64G04","47B03","29C","3","Yes","","","","No","Weak","SplitGAL4annotate/Image/Untitled_605.jpg"
"","","","","29B","","","","","","","",""
"","","","","(7)","","","","","","","",""
"L1811","JRC_IS22380-20160226_54_D3","12H12","94F11","138","3","Yes","","","","No","Weak","SplitGAL4annotate/Image/Untitled_607.jpg"
"","","","","16D","","","","","","","",""
"","","","","29B","","","","","","","",""
"L2363","JRC_IS27110-20160311_53_G2","48F03","73C07","11A","1","Yes","","Yes_TI-wk20","Yes_TI_wk20","Yes","Medium","SplitGAL4annotate/Image/Untitled_608.jpg"
"L1683","JRC_IS22695-20160226_53_I5","46A08","85C03","3B","2","Yes","","Yes_TI-wk20","Yes_TI_wk22","Yes","None","SplitGAL4annotate/Image/Untitled_610.jpg"
"","","","","29B","","","","","","","",""
"L1841","JRC_IS27126-20160311_53_E5","VT044492","10H03","(1H)","1","No","","","","In Progress (flycore)","Strong","SplitGAL4annotate/Image/Untitled_611.jpg"
"L2444","JRC_SS44863-20171103_49_A1","75B02","VT028327","PN","1","Yes","","Yes_TI-wk26","Yes_TI_wk31","Yes","Medium","SplitGAL4annotate/Image/Untitled_575.jpg"
"L2443","JRC_SS11235-20171103_49_A2","75B02","79B08","PN","1","Yes","","","","Yes","None","SplitGAL4annotate/Image/Untitled_598.jpg"
"L1786","JRC_IS34899-20160930_41_I2","25G10","94B04",,"1","Yes","","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_606.jpg"
"L1779","JRC_IS34892-20160930_43_A5","55C09","94B04","16B","1","Yes","","","","Yes","Weak","SplitGAL4annotate/Image/Untitled_609.jpg"
"L1591","JRC_IS34841-20160930_42_G6","27C09","76G09","16F","","Yes","","","","Yes","None","SplitGAL4annotate/Image/Untitled_612.jpg"
"L1448","JRC_IS34819-20160930_42_A6","54G12","64E01","NotPaper","1","Yes","","","","Yes","Strong","SplitGAL4annotate/Image/Untitled_613.jpg"
"L1377","JRC_IS34807-20160930_42_C1","95A10","53H04","1E","1","Yes","","","","In Progress (flycore)","None","SplitGAL4annotate/Image/Untitled_614.jpg"
"L754","JRC_IS31644-20160701_52_A1","84A06","19E06","12C","1","Yes","","","","Yes","None","SplitGAL4annotate/Image/Untitled_615.jpg"
"L732","JRC_IS31635-20160624_53_A5","70D02","18B12","125","1","Yes","","","","No","Medium","SplitGAL4annotate/Image/Untitled_617.jpg"
"L712","JRC_IS31632-20160624_53_F2","27C09","15A01","155","1","Yes","","","","Yes","None","SplitGAL4annotate/Image/Untitled_618.jpg"
"","","","","NotPaper","","","","","","","",""
"L1408","JRC_IS31594-20160624_53_H2","54G12","58F12","NotPaper","1","Yes","","","","Yes","None","SplitGAL4annotate/Image/Untitled_619.jpg"
"L1418","JRC_IS31603-20160624_53_H1","44G08","58F12","TPN","1","Yes","","","","Yes","None","SplitGAL4annotate/Image/Untitled_620.jpg"
