,'D','DA1','DA2','DA3','DA4l','DC1','DC2','DC3','DL1','DL3','DL4','DL5','DM1','DM2','DM3','DM4','DM5','DM6','DP1m','VA1d','VA1v','VA2','VA3','VA4','VA5','VA6','VA7l','VA7m','VC1','VC2','VL1','VL2a','VL2p','VM1','VM2','VM3','VM4','VM7d','VM7v'
'JJ84',5.304459649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.136940314,0,0,0,0,0,0,0,3.168868838,0,0
'JJ26',0,0,0,0,0,0,0,0,0,0,0,4.561411944,0,0,0,0,0,0,0,0,10.74317194,0,0,1.670242768,0,0,0,0,0,0,0,3.356467968,5.90899544,0,0,0,0,0,0
'JJ129',6.057645389,3.509594608,0,0,0,0,0,6.578458482,4.63594231,0,0,4.646388432,0,0,0,0,0,0,0,6.08315263,5.478647492,7.466413273,16.82390806,0,3.332945011,4.976671506,10.14601384,7.664160746,0,0,0,0,11.26485712,5.144519399,0,1.709975384,7.109137321,0,0
'JJ33',0,0,0,0,0,0,6.805612362,9.156443806,4.230571109,0,0,3.326845032,0,0,0,0,0,0,0,11.0463527,0,0,7.778399444,4.624851738,0,0,5.09861302,0,3.274616416,4.100452728,0,0,8.081142696,0,0,0,0,0,0
'JJ31',0,5.040976647,7.827489408,0,0,0,10.06985572,5.607656179,5.10918081,0,0,0,0,0,0,0,0,0,0,8.611699535,0,0,5.862501762,0,6.569745595,4.173072696,9.272248272,0,0,9.430492482,0,0,7.661328268,5.001727201,0,0,0,0,0
'JJ25',5.946196302,0,0,0,0,0,2.74624559,7.578221,4.489784103,0,0,9.581711715,4.337943577,3.370017387,0,3.354177411,2.157957755,0,11.25850522,5.238055156,6.479556384,8.894224993,11.83815788,9.951096782,0,0,5.662379328,0,3.617414304,3.845122862,0,10.52206438,15.47271872,2.832779122,0,0,0,0,0
'JJ27',0,5.254313982,0,0,0,0,0,0,0,5.349510801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ24',0,8.413053972,0,0,0,0,0,0,0,9.291987067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.010201187,0,0
'JJ18',0,7.100218485,0,0,0,0,0,0,0,7.455582835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ127',0,0,3.396101942,0,0,0,4.559934447,0,2.364403435,0,0,4.127069986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.248731683,0,3.809365067,0,0,0,0,0,0,0,0,0,0
'JJ132',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.823777891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ20',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.729545143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ88',0,0,0,0,0,0,0,0,1.982216106,1.860299423,0,2.029489373,7.540576473,3.881033035,3.977819254,4.455736894,4.563546772,0,0,0,0,0,0,2.590880645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ14',0,0,0,0,0,0,0,0,0,0,0,0,2.429350606,4.204463502,0,0,2.498056211,0,0,0,0,0,1.635644838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ11',0,0,0,0,0,0,0,0,0,0,0,0,6.009642496,3.488336024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ89',0,0,0,0,0,0,0,0,0,0,0,0,3.529703921,0,0,3.217933717,3.279215694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ90',0,0,0,0,0,0,0,0,0,0,0,0,6.755061716,4.179757503,0,6.044356497,0,0,0,0,0,0,2.832670524,0,0,0,0,0,0,0,0,0,0,0,3.90433243,0,0,0,0
'JJ8',0,0,0,0,0,0,0,2.415273649,2.792029183,0,0,0,3.502994876,0,0,0,0,0,0,3.148283405,0,0,0,0,0,0,2.726656005,0,0,0,0,0,2.190596305,0,0,0,0,0,0
'JJ7',0,0,0,0,0,0,0,0,0,0,0,0,1.810118568,0,0,0,4.109844131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.622321904,0
'JJ4',0,0,0,0,0,0,0,0,0,0,0,0,4.047407718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ55',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.343493791,0,0,0,0,0,0,0,0,0,0,0,0
'JJ60',0,0,1.083987817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.315553609,0,0,0,0,1.523333709,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ138',0,4.107728833,0,0,0,0,0,4.142263669,0,0,0,0,0,0,0,0,0,0,0,5.710596322,5.017352887,0,0,0,0,2.493329838,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ53',0,2.582996465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07264997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025844871,1.854785453
'JJ48',0,0,0,0,0,0,1.993841412,0,0,0,0,0,0,0,0,0,0,0,0,2.523133986,2.425595312,0,0,0,0,1.613922662,0,0,0,0.9973218,0,0,0,0,0,0,0,0,0
'JJ85',0,0,0,0,0,0,2.568211836,1.033935361,0,0,0,0,0,0,0,0,0,0,0,1.128297062,0,0,0,0,0,4.034999967,0,0,0,0,0,0,0,0,0,0,0,1.012863294,0
'JJ30',0,3.843928365,0,0,0,0,0,6.847118715,0,0,0,0,0,2.338322938,0,0,0,0,0,5.250947884,4.888099185,0,1.535458252,0,0,3.717303737,3.335435684,0,0,0,0,0,0,0,0,0,0,0,0
'JJ36',0,0,0,0,0,0,3.175046086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.384895802,0,0,0,0,0,0,0,0,0,0,0,0,0
