"L1570","76C08","76E07","JRC_SS03800-20150227_41_E3","17C","1","Yes","Yes_TI_wk5","Yes-TI_wk4","Medium"
"L1518","85A07","65H10","JRC_SS03801-20150227_41_F1","70A","1","Yes","Yes_TI_wk6","Yes-TI_wk4","Weak"
"L1112","37E08","41H07	","GMR_41H07_AV_01-20150313_46_A2","70C","1","Yes","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Weak"
"L728","76E07","18B11","JRC_SS03795-20150227_41_D4","17C","1","Yes","Yes_TI_wk6","Case4_Wk1","Strong"
"L1810","11E08","94F11","GMR_94F11_AV_01-20150313_46_B1","52","3","Yes","Yes_TI_wk6","","Needimage"
"","","","","(16C)","","","","",""
"L568","24C08","94F11","GMR_94F11_AV_01-20150313_46_B4","52","2","Yes","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Needimage"
"","","","","1H","","","","",""
"L283","54G12","44D05","GMR_44D05_XD_01-20150313_46_C1","1E","1","Yes","Yes_TI-wk26","Yes-TI_flycore_18Apr-30May16","None"
"","","","","1A","","","","",""
"L1328","48E02","53C02","GMR_53C02_AV_01-20150313_46_C4","138","1","Yes","Yes_TI-wk21","Yes-TI_wk15-16 (flycore)","Medium"
"L1313","76E07","53B06","GMR_53B06_AV_01-20150313_46_C5","17C","1","Yes","Yes_TI_wk6","","Don't Care"
"L1479","84F07","65C07","GMR_65C07_AV_01-20150313_46_D3","1H","1","Yes","Yes_TI-wk27","Case4_Wk6","Weak"
"L574","54G12","94F11","GMR_94F11_AV_01-20150313_46_A4","1A","2","Yes","","","Needimage"
"","","","","138","","","","",""
"L1350","49G06","53D01","GMR_53D01_AV_01-20150313_46_E2","3F","1","Yes","Yes_TI_wk9","Yes-TI_wk15-16 (flycore)","Don't Care"
"L1337","41H07","53C10","GMR_53C10_AV_01-20150313_46_F1","70B","1","Yes","Yes_TI_wk6","Yes-TI_wk4","Weak"
"L954","76C08","34E07","GMR_34E07_AV_01-20150306_41_A1","4A","1","Yes","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Medium"
"L1481","11B07","65C07","GMR_65C07_AV_01-20150313_46_F4","8A","1","Yes","","","Medium"
"L290","38D01","45F12","GMR_45F12_AV_01-20150313_46_G2","3A","1","Yes","Yes_TI_wk6","","Weak"
"L885","22A12","30A10","GMR_30A10_AV_01-20150313_46_G3","116A","2","No","","","Needimage"
"","","","","4A","","","","",""
