"","skid","catmaid_name","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","type","primary_neurite","anatomy_group","cell_type","cell","hemibrain_match","Frechter_et_al","closest_light_match","LM_match_quality","status","transmitter","other_names","citation","all_citations","new.cell.type","new.match","is.lhn"
"87","8521115","possible 137 candidate 8521116 RJVR","VLPp&l1","VLPp&l1_ventral","DPLpv","DPLpv_ventral","IN","LOT","LO-PN","LO-PN2","LO-PN2#1","5813014262","old","new:LO-PN2","cell.type","preliminary","acetylcholine","none","Dolan et al. 2019","Dolan et al. 2019","uncertain","1067223806",NA
"88","535060","putative MB-C1 535061 JSL","VPNp&v1","VPNp&v1_posterior","BLP1","BLP1_posterior","ON","PV2","MB-C1","MB-C1","MB-C1#1","5813021291","old","L1900#1","cell.type","preliminary","unknown","none","Dolan et al. 2019","Dolan et al. 2019","MB-C1","5813075020",FALSE
"89","1866895","(LH.R,SP.R)->(CA.R,LH.R)1866896 Morpholino ASB","Primary","Primary","Primary","Primary","CENT","PV1","PV1a","CENT2-a","CENT2-a#1","328533761","old","TH-F-000012","cell.type","rough","unknown","none","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020","LHPV1a1","328533761",TRUE
"90","1299700","PD2a1#1 1299701 ASB","VLPd&p1","VLPd&p1_dorsal","DPLl2","DPLl2_dorsal","ON","PD2","PD2a","PD2a1","PD2a1#1","571666400","old","L989#9","cell.type","complete","acetylcholine","ML9; Type I","Dolan et al. 2018","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Dolan et al. 2018; Fisek et al. 2014","LHPD2a1","573329304",TRUE
"91","2205218","PD2a1#2 1290496 Deirdre ASB","VLPd&p1","VLPd&p1_dorsal","DPLl2","DPLl2_dorsal","ON","PD2","PD2a","PD2a1","PD2a1#2","571666400","old","L989#9","cell.type","complete","acetylcholine","ML9; Type I","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Dolan et al. 2018; Fisek et al. 2014","LHPD2a1","573337611",TRUE
"92","1415893","PD2a1#3 1415894 Cu Chulainn ASB","VLPd&p1","VLPd&p1_dorsal","DPLl2","DPLl2_dorsal","ON","PD2","PD2a","PD2a1","PD2a1#3","571666400","old","L989#7","cell.type","complete","acetylcholine","ML9; Type I","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Dolan et al. 2018; Fisek et al. 2014","LHPD2a1","571666434",TRUE
"93","1454234","PD2a1#4 1454235 Medb ASB","VLPd&p1","VLPd&p1_dorsal","DPLl2","DPLl2_dorsal","ON","PD2","PD2a","PD2a1","PD2a1#4","571666400","old","L989#7","cell.type","complete","acetylcholine","ML9; Type I","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Dolan et al. 2018; Fisek et al. 2014","LHPD2a1","571666434",TRUE
"94","11547665","PD2a1#5 3516954 Conchobar ASB","VLPd&p1","VLPd&p1_dorsal","DPLl2","DPLl2_dorsal","ON","PD2","PD2a","PD2a1","PD2a1#5","571666400","old","L989#9","cell.type","complete","acetylcholine","ML9; Type I","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Dolan et al. 2018; Fisek et al. 2014","LHPD2a1","542634516",TRUE
"95","1606113","PD2b1#1 1606114 ASB","VLPd&p1","VLPd&p1_dorsal","DPLl2","DPLl2_dorsal","ON","PD2","PD2b","PD2b1","PD2b1#1","548872750","old","37G11#5","cell.type","complete","acetylcholine","ML8; Type I","Dolan et al. 2018","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Dolan et al. 2018; Fisek et al. 2014","LHPD2b1","509928512",TRUE
"96","3345012","PD2b1#2 3345012 C,aooeA S,ao¬(R)th ASB","VLPd&p1","VLPd&p1_dorsal","DPLl2","DPLl2_dorsal","ON","PD2","PD2b","PD2b1","PD2b1#2","548872750","old","37G11#5","cell.type","complete","acetylcholine","ML8; Type I","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Dolan et al. 2018; Fisek et al. 2014","LHPD2b1","509928512",TRUE
"97","1868440","SLP Neuron Snorri Sturluson 1868441 RJVR","LHp2","LHp2_medial","DPLp1","DPLp1_medial","ON","PD2","PD2c","PD2c1","PD2c1#1","5813049920","old","Gad1-F-500258","cell.type","preliminary","unknown","none","Marin et al. 2020","Marin et al. 2020","LHPV6g1","5813049920",TRUE
"98","11524452","LAC OLCT3#3 5844069 ECM Katy Perry ","Primary","Primary","Primary","Primary","ON","PD2","PD2j","PD2j1","PD2j1#1","5813078557","new","fru-M-200431","anatomy.group","rough","unknown","none","Marin et al. 2020","Marin et al. 2020","LHPD2d1","5813021615",FALSE
"99","4129363","LAC OLCT3a#1 4129364 ECM Lysa Arryn","Primary","Primary","Primary","Primary","ON","PD2","PD2j","PD2j1","PD2j1#2","5813078557","new","fru-M-200431","anatomy.group","preliminary","unknown","none","Marin et al. 2020","Marin et al. 2020","DN1","5813022274",NA
"100","3973434","LAC OLCT3a#2 3973435 KEC ECM Sansa","Primary","Primary","Primary","Primary","ON","PD2","PD2j","PD2j1","PD2j1#3","5813078557","new","fru-M-200431","anatomy.group","preliminary","unknown","none","Marin et al. 2020","Marin et al. 2020","DN1","264083994",NA
"101","3481901","PD3a1#1 3481902 DC4 Bully RJVR ASB","LHd2","LHd2_dorsal","DPLm2","DPLm2_dorsal","ON","PD2","PD2a","PD3a1","PD3a1#1","510934715","old","Cha-F-500011","cell.type","complete","glutamate","Local6","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018","LHPD3a5","510934715",TRUE
"102","4182038","PD3a2#1 4182039 Ragdoll ASB","LHd2","LHd2_dorsal","DPLm2","DPLm2_dorsal","ON","PD2","PD2a","PD3a2","PD3a2#1","480922968","old","L1749#3","cell.type","complete","glutamate","none","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019","LHPD3a2","480922968",TRUE
"103","1093041","PD3c1 LHON 1093042 ARH FML","LHd2","LHd2_dorsal","DPLm2","DPLm2_dorsal","ON","PD2","PD2c","PD3c1","PD3c1#1","387516191","old","Cha-F-100103","cell.type","rough","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHPD3b1","358865451",TRUE
"104","11210831","LAC-SMPb#1 11210830 PMJ ECM Eyrie","SLPpm3","SLPpm3_lateral","DPLc3","DPLc3_lateral","ON","PD4","PD4i","PD4i2","PD4i2#1","514068564","new","fru-F-000092","anatomy.group","rough","unknown","none","Marin et al. 2020","Marin et al. 2020","PDM10og_pc","417558532",NA
